Ticker,Date,Time,Headline,full_timestamp,parsed_date,date_only,sentiment_label,sentiment_confidence,sentiment_score,weighted_score
AMZN,Today,12:54PM,"Bezos' Blue Origin working on orbital data center technology, WSJ reports",Today 12:54PM,,,neutral,0.9084876775741577,0,0.0
AMZN,Today,12:25PM,"Amazon's Grocery Momentum Puts Scare Into Instacart Stock, DoorDash",Today 12:25PM,,,negative,0.3501950800418854,-1,-0.3501950800418854
AMZN,Today,12:19PM,Wall Street and Temasek Are Fighting for a Piece of Swiggy's $1.1B India Delivery Play,Today 12:19PM,,,negative,0.48655053973197937,-1,-0.48655053973197937
AMZN,Today,12:10PM,"Talk of an AI bubble is just 'ridiculous,' this strategist says",Today 12:10PM,,,negative,0.7736238837242126,-1,-0.7736238837242126
AMZN,Today,12:06PM,Marvell CEO fights back against bears; stock gains,Today 12:06PM,,,neutral,0.3791252672672272,0,0.0
AMZN,Today,11:53AM,Amazon Shares Steady as Glowmade Layoffs Highlight Ongoing Gaming Challenges,Today 11:53AM,,,negative,0.9677941203117371,-1,-0.9677941203117371
AMZN,Today,11:45AM,Retailers look healthier than narrative suggests as margins near peak- Guggenheim,Today 11:45AM,,,positive,0.9468444585800171,1,0.9468444585800171
AMZN,Today,11:33AM,Amazon to Invest $35 Billion in India Through 2030 to Expand AI and Retail Footprint,Today 11:33AM,,,positive,0.8077573180198669,1,0.8077573180198669
AMZN,Today,11:32AM,Why Amazon Stock Is Climbing Today,Today 11:32AM,,,neutral,0.5003052353858948,0,0.0
AMZN,Today,11:20AM,Amazon Just Made a $35 Billion Power Play--and It's All About India,Today 11:20AM,,,neutral,0.9312005043029785,0,0.0
AMZN,Today,11:11AM,Magnificent Seven Stocks: Nvidia Slides; Tesla Offers New Buy Point,Today 11:11AM,,,neutral,0.4685923457145691,0,0.0
AMZN,Today,11:06AM,Amazon named Top Mega Cap Internet Pick at TD Cowen,Today 11:06AM,,,neutral,0.5720977783203125,0,0.0
AMZN,Today,11:05AM,Powell's Fed Just Cut Rates Again -- But the Real Shock Is What Happens Next,Today 11:05AM,,,neutral,0.8363375663757324,0,0.0
AMZN,Today,11:04AM,Can AMZN's Expanding Global Investments Push the Stock Higher in 2026?,Today 11:04AM,,,positive,0.8791221976280212,1,0.8791221976280212
AMZN,Today,10:56AM,Amazon to pay 510 million euros to settle tax probe in Italy - sources,Today 10:56AM,,,neutral,0.826445460319519,0,0.0
AMZN,Today,10:40AM,TSMC Stock Is Rising -- Strong November Sales Highlight AI-Driven Demand,Today 10:40AM,,,positive,0.9571999907493591,1,0.9571999907493591
